Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,lat,lon
380014,GOOD SAMARITAN REGIONAL MEDICAL CENTER,3600 NW SAMARITAN DRIVE,CORVALLIS,OR,97330,BENTON,(541) 768-5111,Acute Care Hospitals,Voluntary non-profit - Private,True,4,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,44.6,-123.3
220019,HARRINGTON MEMORIAL HOSPITAL-1,100 SOUTH STREET,SOUTHBRIDGE,MA,1550,WORCESTER,(508) 765-9771,Acute Care Hospitals,Voluntary non-profit - Private,True,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,42.07,-72.04
440175,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM LAWRENCE,HWY 43 S BOX 847,LAWRENCEBURG,TN,38464,LAWRENCE,(931) 762-6571,Acute Care Hospitals,Voluntary non-profit - Other,True,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,35.3,-87.4
330205,ST ANTHONY COMMUNITY HOSPITAL,15 MAPLE AVENUE -19,WARWICK,NY,10990,ORANGE,(845) 986-2276,Acute Care Hospitals,Voluntary non-profit - Church,True,3,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,41.3,-74.4
360364,CLEVELAND CLINIC AVON HOSPITAL,33300 CLEVELAND CLINIC BLVD,AVON,OH,44011,LORAIN,(216) 636-7727,Acute Care Hospitals,Voluntary non-profit - Private,True,4,Above the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,41.45,-82.02
230174,NORTH OTTAWA COMMUNITY HEALTH SYSTEM,1309 SHELDON RD,GRAND HAVEN,MI,49417,OTTAWA,(616) 842-3600,Acute Care Hospitals,Government - Hospital District or Authority,True,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,43.0,-86.1
340017,MARGARET R PARDEE MEMORIAL HOSPITAL,800 N JUSTICE ST,HENDERSONVILLE,NC,28791,HENDERSON,(828) 696-1000,Acute Care Hospitals,Government - Local,True,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,35.36,-82.51
521358,DOOR COUNTY MEDICAL CENTER,323 SOUTH 18TH AVENUE,STURGEON BAY,WI,54235,DOOR,(920) 743-5566,Critical Access Hospitals,Voluntary non-profit - Church,True,5,Same as the national average,Same as the national average,Above the national average,Above the national average,Not Available,Above the national average,Same as the national average,44.8,-87.4
260176,ST LUKE'S DES PERES HOSPITAL,2345 DOUGHERTY FERRY ROAD,SAINT LOUIS,MO,63122,ST. LOUIS,(314) 966-9100,Acute Care Hospitals,Proprietary,True,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Not Available,38.58,-90.42
410007,RHODE ISLAND HOSPITAL,593 EDDY STREET,PROVIDENCE,RI,2903,PROVIDENCE,(401) 444-4000,Acute Care Hospitals,Voluntary non-profit - Private,True,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,41.82,-71.41
370218,"SAINT FRANCIS HOSPITAL SOUTH, LLC",10501 EAST 91ST STREET SOUTH,TULSA,OK,74133,TULSA,(918) 307-6000,Acute Care Hospitals,Voluntary non-profit - Private,True,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,36.04,-95.88
240006,OLMSTED MEDICAL CENTER,1650 FOURTH STREET SOUTHEAST,ROCHESTER,MN,55904,OLMSTED,(507) 287-2761,Acute Care Hospitals,Voluntary non-profit - Private,True,5,Not Available,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,44.0,-92.4
390198,MILLCREEK COMMUNITY HOSPITAL,5515 PEACH STREET,ERIE,PA,16509,ERIE,(814) 864-4031,Acute Care Hospitals,Voluntary non-profit - Private,True,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Not Available,42.1,-80.0
180115,ROCKCASTLE REGIONAL HOSPITAL & RESPIRATORY CARE CT,145 NEWCOMB AVENUE,MOUNT VERNON,KY,40456,ROCKCASTLE,(606) 256-2195,Acute Care Hospitals,Voluntary non-profit - Private,True,3,Same as the national average,Not Available,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,37.3,-84.3
131312,ST LUKE'S MCCALL,1000 STATE STREET,BURGDORF,ID,83638,VALLEY,(208) 630-2395,Critical Access Hospitals,Voluntary non-profit - Private,True,4,Not Available,Not Available,Same as the national average,Above the national average,Not Available,Above the national average,Same as the national average,44.9,-115.9
110184,WELLSTAR DOUGLAS HOSPITAL,8954 HOSPITAL DRIVE,DOUGLASVILLE,GA,30134,DOUGLAS,(770) 949-1500,Acute Care Hospitals,Voluntary non-profit - Private,True,4,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,33.8,-84.8
261325,COX BARTON COUNTY HOSPITAL,29 NW 1ST LANE,LAMAR,MO,64759,BARTON,(417) 682-6081,Critical Access Hospitals,Government - Local,True,4,Same as the national average,Not Available,Above the national average,Above the national average,Not Available,Above the national average,Below the national average,37.5,-94.3
390044,READING HOSPITAL,420 S 5TH AVENUE,WEST READING,PA,19611,BERKS,(610) 988-8000,Acute Care Hospitals,Voluntary non-profit - Other,True,5,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,40.33,-75.94
351335,JAMESTOWN REGIONAL MEDICAL CENTER,2422 20TH ST SW,JAMESTOWN,ND,58401,STUTSMAN,(701) 252-1050,Critical Access Hospitals,Voluntary non-profit - Private,True,4,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,46.9,-98.7
010087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,MOBILE,AL,36617,MOBILE,(251) 471-7110,Acute Care Hospitals,Government - State,True,3,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,30.72,-88.09
450379,DALLAS MEDICAL CENTER,7 MEDICAL PARKWAY,DALLAS,TX,75234,DALLAS,(972) 247-1000,Acute Care Hospitals,Proprietary,True,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Not Available,32.92,-96.9
220052,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,680 CENTER STREET,BROCKTON,MA,2302,PLYMOUTH,(508) 941-7000,Acute Care Hospitals,Voluntary non-profit - Other,True,4,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,42.09,-71.0
520038,AURORA MEDICAL CTR WASHINGTON COUNTY,1032 E SUMNER ST,HARTFORD,WI,53027,WASHINGTON,(262) 673-2300,Acute Care Hospitals,Voluntary non-profit - Private,True,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,43.3,-88.4
330231,QUEENS HOSPITAL CENTER,82-68 164TH STREET,JAMAICA,NY,11432,QUEENS,(718) 883-3000,Acute Care Hospitals,Government - Local,True,1,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Not Available,40.72,-73.79
070007,LAWRENCE & MEMORIAL HOSPITAL,365 MONTAUK AVE,NEW LONDON,CT,6320,NEW LONDON,(860) 442-0711,Acute Care Hospitals,Voluntary non-profit - Private,True,3,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,41.35,-72.11
060044,COLORADO PLAINS MEDICAL CENTER,1000 LINCOLN ST,FORT MORGAN,CO,80701,MORGAN,(970) 867-3391,Acute Care Hospitals,Voluntary non-profit - Other,True,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,40.2,-103.8
190190,"CALDWELL MEMORIAL HOSPITAL, INC",411 MAIN STREET,COLUMBIA,LA,71418,CALDWELL,(318) 649-6111,Acute Care Hospitals,Voluntary non-profit - Private,False,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Not Available,32.1,-92.1
360010,UNION HOSPITAL,659 BOULEVARD,DOVER,OH,44622,TUSCARAWAS,(330) 343-3311,Acute Care Hospitals,Voluntary non-profit - Other,True,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,40.6,-81.5
050239,GLENDALE ADVENTIST MEDICAL CENTER,1509 E WILSON TERRACE,GLENDALE,CA,91206,LOS ANGELES,(818) 409-8202,Acute Care Hospitals,Voluntary non-profit - Private,True,5,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,34.16,-118.22
010046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,(256) 543-5200,Acute Care Hospitals,Proprietary,True,4,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Not Available,34.0,-85.9
521326,THEDACARE MEDICAL CENTER NEW LONDON,1405 MILL ST,NEW LONDON,WI,54961,WAUPACA,(920) 531-2000,Critical Access Hospitals,Voluntary non-profit - Private,True,4,Not Available,Not Available,Above the national average,Same as the national average,Same as the national average,Above the national average,Not Available,44.4,-88.8
100267,ENGLEWOOD COMMUNITY HOSPITAL,700 MEDICAL BLVD,ENGLEWOOD,FL,34223,SARASOTA,(941) 475-6571,Acute Care Hospitals,Proprietary,True,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,26.98,-82.37
100084,LEESBURG REGIONAL MEDICAL CENTER,600 E DIXIE AVE,LEESBURG,FL,34748,LAKE,(352) 323-5762,Acute Care Hospitals,Voluntary non-profit - Private,True,2,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,28.7,-81.9
110001,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,WHITFIELD,(706) 272-6105,Acute Care Hospitals,Voluntary non-profit - Private,True,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,34.8,-85.0
041329,MERCY HOSPITAL BERRYVILLE,214 CARTER STREET,BERRYVILLE,AR,72616,CARROLL,(870) 423-3355,Critical Access Hospitals,Voluntary non-profit - Church,True,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,36.3,-93.6
160032,SKIFF MEDICAL CENTER,204 N 4TH AVE E,NEWTON,IA,50208,JASPER,(641) 792-1273,Acute Care Hospitals,Voluntary non-profit - Private,True,5,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,41.7,-93.0
331317,LEWIS COUNTY GENERAL HOSPITAL,7785 NORTH STATE STREET,LOWVILLE,NY,13367,LEWIS,(315) 376-5200,Critical Access Hospitals,Voluntary non-profit - Other,True,3,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,43.8,-75.5
190144,MINDEN MEDICAL CENTER,NO 1 MEDICAL PLAZA,MINDEN,LA,71055,WEBSTER,(318) 377-2321,Acute Care Hospitals,Proprietary,True,3,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,32.7,-93.3
390101,UPMC MEMORIAL,1701 INNOVATION DRIVE,YORK,PA,17408,YORK,(717) 843-8623,Acute Care Hospitals,Voluntary non-profit - Private,True,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,39.94,-76.81
460023,AMERICAN FORK HOSPITAL,170 NORTH 1100 EAST,AMERICAN FORK,UT,84003,UTAH,(801) 855-3305,Acute Care Hospitals,Voluntary non-profit - Private,True,5,Not Available,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,40.4,-111.79
161307,HANCOCK COUNTY HEALTH SYSTEM,532 1ST ST NW,BRITT,IA,50423,HANCOCK,(641) 843-5000,Critical Access Hospitals,Government - Local,True,4,Same as the national average,Not Available,Above the national average,Not Available,Not Available,Same as the national average,Same as the national average,43.1,-93.8
180138,BAPTIST HEALTH LA GRANGE,1025 NEW MOODY LANE,LA GRANGE,KY,40031,OLDHAM,(502) 222-5388,Acute Care Hospitals,Voluntary non-profit - Private,True,3,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,38.4,-85.4
510006,UNITED HOSPITAL CENTER,327 MEDICAL PARK DRIVE,BRIDGEPORT,WV,26330,HARRISON,(681) 342-1000,Acute Care Hospitals,Voluntary non-profit - Private,True,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,39.3,-80.2
490113,SENTARA NORTHERN VIRGINIA MEDICAL CENTER,2300 OPITZ BOULEVARD,WOODBRIDGE,VA,22191,PRINCE WILLIAM,(703) 523-1000,Acute Care Hospitals,Voluntary non-profit - Private,True,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,38.62,-77.27
140213,SILVER CROSS HOSPITAL  AND MEDICAL CENTERS,1900 SILVER CROSS BLVD,NEW LENOX,IL,60451,WILL,(815) 300-1100,Acute Care Hospitals,Voluntary non-profit - Private,True,4,Above the national average,Above the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,41.51,-87.96
140304,ADVENTIST BOLINGBROOK HOSPITAL,500 REMINGTON BOULEVARD,BOLINGBROOK,IL,60440,WILL,(630) 312-5000,Acute Care Hospitals,Voluntary non-profit - Private,True,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,41.7,-88.08
330386,CATSKILL REGIONAL MEDICAL CENTER,68 HARRIS BUSHVILLE ROAD,HARRIS,NY,12742,SULLIVAN,(845) 794-3300,Acute Care Hospitals,Voluntary non-profit - Private,True,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,41.72,-74.73
420103,PELHAM MEDICAL CENTER,250 WESTMORELAND ROAD,GREER,SC,29651,GREENVILLE,(864) 560-6554,Acute Care Hospitals,Government - Hospital District or Authority,True,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,34.9,-82.2
170012,SALINA REGIONAL HEALTH CENTER,400 SOUTH SANTA FE AVENUE,SALINA,KS,67401,SALINE,(785) 452-7000,Acute Care Hospitals,Voluntary non-profit - Private,True,3,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,38.9,-97.6
150026,GOSHEN GENERAL HOSPITAL,200 HIGH PARK AVE,GOSHEN,IN,46526,ELKHART,(574) 364-1000,Acute Care Hospitals,Voluntary non-profit - Private,True,3,Same as the national average,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,41.6,-85.9
050040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,14445 OLIVE VIEW DRIVE,SYLMAR,CA,91342,LOS ANGELES,(818) 364-1555,Acute Care Hospitals,Voluntary non-profit - Other,True,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,34.3,-118.4
210030,UMD SHORE MEDICAL CTR AT CHESTERTOWN,100 BROWN STREET,CHESTERTOWN,MD,21620,KENT,(410) 778-7668,Acute Care Hospitals,Voluntary non-profit - Private,True,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,39.2,-76.1
050736,MONTEREY PARK HOSPITAL,900 S ATLANTIC BLVD,MONTEREY PARK,CA,91754,LOS ANGELES,(626) 570-9000,Acute Care Hospitals,Proprietary,False,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,34.05,-118.15
450853,BAYLOR MEDICAL CENTER AT FRISCO,5601 WARREN PARKWAY,FRISCO,TX,75034,DENTON,(214) 618-2000,Acute Care Hospitals,Proprietary,True,4,Not Available,Above the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Not Available,33.12,-96.88
140234,ILLINOIS VALLEY COMMUNITY HOSPITAL,925 WEST ST,PERU,IL,61354,LA SALLE,(815) 223-3300,Acute Care Hospitals,Voluntary non-profit - Private,True,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,41.3,-89.1
231323,SPECTRUM HEALTH REED CITY HOSPITAL,"300 N PATTERSON, PO BOX 75",REED CITY,MI,49677,OSCEOLA,(231) 832-3271,Critical Access Hospitals,Voluntary non-profit - Private,True,4,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,43.9,-85.5
150166,PINNACLE HOSPITAL,9301 CONNECTICUT DR,CROWN POINT,IN,46307,LAKE,(219) 756-2100,Acute Care Hospitals,Physician,False,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Not Available,41.4,-87.3
190007,NATCHITOCHES REGIONAL MEDICAL CENTER,501 KEYSER AVE,NATCHITOCHES,LA,71457,NATCHITOCHES,(318) 471-2628,Acute Care Hospitals,Government - Hospital District or Authority,True,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,31.7,-93.1
440104,ERLANGER MEDICAL CENTER,975 E 3RD ST,CHATTANOOGA,TN,37403,HAMILTON,(423) 778-7000,Acute Care Hospitals,Government - Hospital District or Authority,True,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average,35.05,-85.29
420010,CAROLINA PINES REGIONAL MEDICAL CENTER,1304 W BOBO NEWSOM HWY,HARTSVILLE,SC,29550,DARLINGTON,(864) 339-2100,Acute Care Hospitals,Proprietary,True,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,34.4,-80.1
050292,RIVERSIDE UNIVERSITY HEALTH SYSTEM-MEDICAL CENTER,26520 CACTUS AVENUE,MORENO VALLEY,CA,92555,RIVERSIDE,(951) 486-4000,Acute Care Hospitals,Government - Local,True,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,33.9,-117.1
381317,ADVENTIST HEALTH TILLAMOOK,1000 THIRD STREET,TILLAMOOK,OR,97141,TILLAMOOK,(503) 842-4444,Critical Access Hospitals,Voluntary non-profit - Church,True,4,Same as the national average,Not Available,Above the national average,Same as the national average,Not Available,Not Available,Not Available,45.6,-123.7
381315,"SAINT ALPHONSUS MEDICAL CENTER - BAKER CITY, INC",3325 POCAHONTAS ROAD,BAKER CITY,OR,97814,BAKER,(541) 524-7744,Critical Access Hospitals,Voluntary non-profit - Church,True,4,Same as the national average,Not Available,Above the national average,Above the national average,Not Available,Not Available,Not Available,44.8,-117.8
201304,MOUNT DESERT ISLAND HOSPITAL,"10 WAYMAN LANE, PO BOX 8",BAR HARBOR,ME,4609,HANCOCK,(207) 288-5081,Critical Access Hospitals,Voluntary non-profit - Private,True,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Same as the national average,Not Available,44.4,-68.3
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,CALHOUN,(256) 235-5121,Acute Care Hospitals,Government - Local,True,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,33.7,-85.7
180088,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,200 EAST CHESTNUT STREET,LOUISVILLE,KY,40202,JEFFERSON,(502) 629-8000,Acute Care Hospitals,Voluntary non-profit - Private,True,3,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,38.25,-85.75
150133,KOSCIUSKO COMMUNITY HOSPITAL,2101 E DUBOIS DR,WARSAW,IN,46580,KOSCIUSKO,(574) 267-3200,Acute Care Hospitals,Proprietary,True,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,41.2,-85.9
140007,PRESENCE SAINT JOSEPH MEDICAL CENTER,333 N MADISON ST,JOLIET,IL,60435,WILL,(815) 725-7133,Acute Care Hospitals,Voluntary non-profit - Church,True,3,Same as the national average,Above the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,41.56,-88.12
161365,GREATER REGIONAL MEDICAL CENTER,1700 WEST TOWNLINE STREET,CRESTON,IA,50801,UNION,(641) 782-7091,Critical Access Hospitals,Government - Local,True,4,Not Available,Not Available,Above the national average,Above the national average,Same as the national average,Not Available,Same as the national average,41.1,-94.4
450211,CHI ST LUKES HEALTH MEMORIAL LUFKIN,1201 WEST FRANK STREET,LUFKIN,TX,75901,ANGELINA,(936) 634-8111,Acute Care Hospitals,Voluntary non-profit - Private,True,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,31.3,-94.6
231328,ALLEGAN GENERAL HOSPITAL,555 LINN STREET,ALLEGAN,MI,49010,ALLEGAN,(269) 686-4101,Critical Access Hospitals,Voluntary non-profit - Other,True,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Not Available,Same as the national average,42.5,-85.9
160079,MERCY MEDICAL CENTER - CEDAR RAPIDS,701 10TH STREET SE,CEDAR RAPIDS,IA,52403,LINN,(319) 398-6011,Acute Care Hospitals,Voluntary non-profit - Church,True,5,Above the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,41.97,-91.58
150045,DEKALB HEALTH,1316 E SEVENTH ST,AUBURN,IN,46706,DE KALB,(260) 925-4600,Acute Care Hospitals,Voluntary non-profit - Private,True,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Not Available,41.3,-85.0
010049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,(334) 347-0584,Acute Care Hospitals,Proprietary,True,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,31.3,-85.9
131323,ST LUKE'S WOOD RIVER MEDICAL CENTER,100 HOSPITAL DRIVE,KETCHUM,ID,83340,BLAINE,(208) 727-8800,Critical Access Hospitals,Voluntary non-profit - Private,True,5,Not Available,Not Available,Above the national average,Above the national average,Not Available,Same as the national average,Same as the national average,43.8,-114.6
280111,COLUMBUS COMMUNITY HOSPITAL,4600 38TH ST,COLUMBUS,NE,68601,PLATTE,(402) 562-3351,Acute Care Hospitals,Voluntary non-profit - Other,True,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,41.5,-97.4
450462,TEXAS HEALTH PRESBYTERIAN HOSPITAL  DALLAS,8200 WALNUT HILL LANE,DALLAS,TX,75231,DALLAS,(214) 345-6789,Acute Care Hospitals,Voluntary non-profit - Private,True,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,32.88,-96.75
180045,ST ELIZABETH FLORENCE,4900 HOUSTON ROAD,FLORENCE,KY,41042,BOONE,(859) 212-5220,Acute Care Hospitals,Voluntary non-profit - Private,True,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,38.99,-84.65
290022,DESERT SPRINGS HOSPITAL,2075 EAST FLAMINGO ROAD,LAS VEGAS,NV,89119,CLARK,(702) 369-7600,Acute Care Hospitals,Proprietary,True,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,36.09,-115.15
040137,ST VINCENT MEDICAL CENTER/NORTH,2215 WILDWOOD AVENUE,SHERWOOD,AR,72120,PULASKI,(501) 552-7100,Acute Care Hospitals,Voluntary non-profit - Church,True,3,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,34.9,-92.3
050168,ST JUDE MEDICAL CENTER,101 E VALENCIA MESA DRIVE,FULLERTON,CA,92835,ORANGE,(714) 992-3000,Acute Care Hospitals,Voluntary non-profit - Church,True,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,33.9,-117.91
160101,BROADLAWNS MEDICAL CENTER,1801 HICKMAN ROAD,DES MOINES,IA,50314,POLK,(515) 282-2200,Acute Care Hospitals,Government - Local,True,3,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,41.6,-93.63
330229,BROOKS MEMORIAL HOSPITAL,529 CENTRAL AVENUE,DUNKIRK,NY,14048,CHAUTAUQUA,(716) 366-1111,Acute Care Hospitals,Voluntary non-profit - Private,True,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Not Available,42.5,-79.3
110015,TANNER MEDICAL CENTER VILLA RICA,601 DALLAS HIGHWAY,VILLA RICA,GA,30180,CARROLL,(770) 456-3101,Acute Care Hospitals,Government - Hospital District or Authority,True,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,33.7,-84.9
141322,ABRAHAM LINCOLN MEMORIAL HOSPITAL,200 STAHLHUT DRIVE,LINCOLN,IL,62656,LOGAN,(217) 732-2161,Critical Access Hospitals,Voluntary non-profit - Private,True,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,40.1,-89.4
060114,PARKER ADVENTIST HOSPITAL,9395 CROWN CREST BLVD,PARKER,CO,80138,DOUGLAS,(303) 269-4000,Acute Care Hospitals,Voluntary non-profit - Private,True,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,39.5,-104.7
330141,LONG ISLAND COMMUNITY HOSPITAL,101 HOSPITAL ROAD,PATCHOGUE,NY,11772,SUFFOLK,(631) 654-7100,Acute Care Hospitals,Voluntary non-profit - Private,True,1,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,40.7,-73.0
450639,TEXAS HEALTH HEB,1600 HOSPITAL PARKWAY,BEDFORD,TX,76022,TARRANT,(817) 848-4000,Acute Care Hospitals,Voluntary non-profit - Private,True,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,32.83,-97.14
341324,"THE OUTER BANKS HOSPITAL, INC",4800 SOUTH CROATAN HIGHWAY,NAGS HEAD,NC,27959,DARE,(252) 449-4500,Critical Access Hospitals,Voluntary non-profit - Private,True,4,Same as the national average,Not Available,Above the national average,Not Available,Same as the national average,Below the national average,Same as the national average,35.9,-75.6
450124,DELL SETON  MED CENTER AT THE UNIVERSITY OF TX,601 E 15TH STREET,AUSTIN,TX,78701,TRAVIS,(512) 324-7000,Acute Care Hospitals,Voluntary non-profit - Private,True,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Not Available,30.27,-97.74
140058,PASSAVANT AREA HOSPITAL,1600 W WALNUT ST,JACKSONVILLE,IL,62650,MORGAN,(217) 245-9551,Acute Care Hospitals,Voluntary non-profit - Private,True,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,39.7,-90.2
450654,STARR COUNTY MEMORIAL HOSPITAL,128  N FM RD 3167,RIO GRANDE CITY,TX,78582,STARR,(956) 487-5561,Acute Care Hospitals,Government - Hospital District or Authority,True,4,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Below the national average,Not Available,26.5,-98.7
